Infinitive,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Plural,Hilfsverb
lobhudeln,lobhudle,lobhudelst,lobhudelt,lobhudelte,gelobhudelt,lobhudelte,lobhudel,lobhudelt,hat
auslosen,lose aus,lost aus,lost aus,loste aus,ausgelost,loste aus,los aus,lost aus,hat
erleuchten,erleuchte,erleuchtest,erleuchtet,erleuchtete,erleuchtet,erleuchtete,erleuchte,erleuchtet,hat
umwerfen,werfe um,wirfst um,wirft um,warf um,umgeworfen,würfe um,wirf um,werft um,hat
refutieren,refutiere,refutierst,refutiert,refutierte,refutiert,refutierte,refutiere,refutiert,hat
affichieren,affichiere,affichierst,affichiert,affichierte,affichiert,affichierte,affichiere,affichiert,hat
nachtarocken,tarocke nach,tarockst nach,tarockt nach,tarockte nach,nachtarockt,tarockte nach,tarock nach,tarockt nach,hat
staffieren,staffiere,staffierst,staffiert,staffierte,staffiert,staffierte,staffier,staffiert,hat
pulen,pule,pulst,pult,pulte,gepult,pulte,pul,pult,hat
delogarithmieren,delogarithmiere,delogarithmierst,delogarithmiert,delogarithmierte,delogarithmiert,delogarithmierte,delogarithmiere,delogarithmiert,hat
entlogarithmieren,entlogarithmiere,entlogarithmierst,entlogarithmiert,entlogarithmierte,entlogarithmiert,entlogarithmierte,entlogarithmiere,entlogarithmiert,hat
antilogarithmieren,antilogarithmiere,antilogarithmierst,antilogarithmiert,antilogarithmierte,antilogarithmiert,antilogarithmierte,antilogarithmiere,antilogarithmiert,hat
exponenzieren,exponenziere,exponenzierst,exponenziert,exponenzierte,exponenziert,exponenzierte,exponenziere,exponenziert,hat
schlussfolgern,schlussfolgere,schlussfolgerst,schlussfolgert,schlussfolgerte,geschlussfolgert,schlussfolgerte,schlussfolgere,schlussfolgert,hat
spratzen,—,—,spratzt,spratzte,gespratzt,spratzte,—,—,hat
immortalisieren,immortalisiere,immortalisierst,immortalisiert,immortalisierte,immortalisiert,immortalisierte,immortalisier,immortalisiert,hat
interzedieren,interzediere,interzedierst,interzediert,interzedierte,interzediert,interzedierte,interzedier,interzediert,hat
hochhieven,hieve hoch,hievst hoch,hievt hoch,hievte hoch,hochgehievt,hievte hoch,hiev hoch,hievt hoch,hat
subjektivieren,subjektiviere,subjektivierst,subjektiviert,subjektivierte,subjektiviert,subjektivierte,subjektiviere,subjektiviert,hat
subministrieren,subministriere,subministrierst,subministriert,subministrierte,subministriert,subministrierte,subministriere,subministriert,hat
waleien,waleie,waleist,waleit,waleite,gewaleit,waleite,waleie,waleit,hat
residieren,residiere,residierst,residiert,residierte,residiert,residierte,residiere,residiert,hat
handhaben,handhabe,handhabst,handhabt,handhabte,gehandhabt,handhabte,handhabe,handhabt,hat
verkündigen,verkündige,verkündigst,verkündigt,verkündigte,verkündigt,verkündigte,verkündig,verkündigt,hat
