Infinitive,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Plural,Hilfsverb
verdanken,verdanke,verdankst,verdankt,verdankte,verdankt,verdankte,verdank,verdankt,hat
aufhalten,halte auf,hältst auf,hält auf,hielt auf,aufgehalten,hielte auf,halte auf,haltet auf,hat
glaren,glare,glarst,glart,glarte,geglart,glarte,glare,glart,hat
quetschen,quetsche,quetschst,quetscht,quetschte,gequetscht,quetschte,quetsch,quetscht,hat
girieren,giriere,girierst,giriert,girierte,giriert,girierte,girier,giriert,hat
bluten,blute,blutest,blutet,blutete,geblutet,blutete,blute,blutet,hat
veräppeln,veräppele,veräppelst,veräppelt,veräppelte,veräppelt,veräppelte,veräppele,veräppelt,hat
vagieren,vagiere,vagierst,vagiert,vagierte,vagiert,vagierte,vagiere,vagiert,hat
kapieren,kapiere,kapierst,kapiert,kapierte,kapiert,kapierte,kapiere,kapiert,hat
flehen,flehe,flehst,fleht,flehte,gefleht,flehte,flehe,fleht,hat
furagieren,furagiere,furagierst,furagiert,furagierte,furagiert,furagierte,furagiere,furagiert,hat
ausbüxen,büxe aus,büxt aus,büxt aus,büxte aus,ausgebüxt,büxte aus,büx aus,büxt aus,ist
ruinieren,ruiniere,ruinierst,ruiniert,ruinierte,ruiniert,ruinierte,ruinier,ruiniert,hat
vereiteln,vereitle,vereitelst,vereitelt,vereitelte,vereitelt,vereitelte,vereitle,vereitelt,hat
hinzufügen,füge hinzu,fügst hinzu,fügt hinzu,fügte hinzu,hinzugefügt,fügte hinzu,füg hinzu,fügt hinzu,hat
besiegeln,besiegele,besiegelst,besiegelt,besiegelte,besiegelt,besiegelte,besiegele,besiegelt,hat
besiegen,besiege,besiegst,besiegt,besiegte,besiegt,besiegte,besieg,besiegt,hat
approbieren,approbiere,approbierst,approbiert,approbierte,approbiert,approbierte,approbier,approbiert,hat
anästhesieren,anästhesiere,anästhesierst,anästhesiert,anästhesierte,anästhesiert,anästhesierte,anästhesiere,anästhesiert,hat
obsiegen,obsiege,obsiegst,obsiegt,obsiegte,obsiegt,obsiegte,obsieg,obsiegt,hat
alterieren,alteriere,alterierst,alteriert,alterierte,alteriert,alterierte,alteriere,alteriert,hat
alimentieren,alimentiere,alimentierst,alimentiert,alimentierte,alimentiert,alimentierte,alimentiere,alimentiert,hat
pönalisieren,pönalisiere,pönalisierst,pönalisiert,pönalisierte,pönalisiert,pönalisierte,pönalisiere,pönalisiert,hat
gaffen,gaffe,gaffst,gafft,gaffte,gegafft,gaffte,gaff,gafft,hat
gängeln,gängele,gängelst,gängelt,gängelte,gegängelt,gängelte,gängele,gängelt,hat
gräzisieren,gräzisiere,gräzisierst,gräzisiert,gräzisierte,gräzisiert,gräzisierte,gräzisier,gräzisiert,hat
heiligen,heilige,heiligst,heiligt,heiligte,geheiligt,heiligte,heilig,heiligt,hat
anpassen,passe an,passt an,passt an,passte an,angepasst,passte an,pass an,passt an,hat
zucken,zucke,zuckst,zuckt,zuckte,gezuckt,zuckte,zucke,zuckt,hat
grinsen,grinse,grinst,grinst,grinste,gegrinst,grinste,grinse,grinst,hat
wünschen,wünsche,wünschst,wünscht,wünschte,gewünscht,wünschte,wünsche,wünscht,hat
mausern,mausere,mauserst,mausert,mauserte,gemausert,mauserte,mausere,mausert,hat
kitzeln,kitzele,kitzelst,kitzelt,kitzelte,gekitzelt,kitzelte,kitzele,kitzelt,hat
planen,plane,planst,plant,plante,geplant,plante,plane,plant,hat
flüstern,flüstere,flüsterst,flüstert,flüsterte,geflüstert,flüsterte,flüstere,flüstert,hat
opalisieren,opalisiere,opalisierst,opalisiert,opalisierte,opalisiert,opalisierte,opalisiere,opalisiert,hat
rächen,räche,rächst,rächt,rächte,gerächt,rächte,räche,rächt,hat
verfluchen,verfluche,verfluchst,verflucht,verfluchte,verflucht,verfluchte,verfluch,verflucht,hat
chartern,chartere,charterst,chartert,charterte,gechartert,charterte,chartere,chartert,hat
paralysieren,paralysiere,paralysierst,paralysiert,paralysierte,paralysiert,paralysierte,paralysiere,paralysiert,hat
gackern,gackere,gackerst,gackert,gackerte,gegackert,gackerte,gackere,gackert,hat
dilettieren,dilettiere,dilettierst,dilettiert,dilettierte,dilettiert,dilettierte,dilettiere,dilettiert,hat
dorren,dorre,dorrst,dorrt,dorrte,gedorrt,dorrte,dorre,dorrt,ist
dörren,dörre,dörrst,dörrt,dörrte,gedörrt,dörrte,dörre,dörrt,hat
ejakulieren,ejakuliere,ejakulierst,ejakuliert,ejakulierte,ejakuliert,ejakulierte,ejakuliere,ejakuliert,hat
konsultieren,konsultiere,konsultierst,konsultiert,konsultierte,konsultiert,konsultierte,konsultiere,konsultiert,hat
realisieren,realisiere,realisierst,realisiert,realisierte,realisiert,realisierte,realisiere,realisiert,hat
picheln,pichele,pichelst,pichelt,pichelte,gepichelt,pichelte,pichel,pichelt,hat
plempern,plempere,plemperst,plempert,plemperte,geplempert,plemperte,plempere,plempert,hat
panaschieren,panaschiere,panaschierst,panaschiert,panaschierte,panaschiert,panaschierte,panaschiere,panaschiert,hat
kumulieren,kumuliere,kumulierst,kumuliert,kumulierte,kumuliert,kumulierte,kumuliere,kumuliert,hat
metabolisieren,metabolisiere,metabolisierst,metabolisiert,metabolisierte,metabolisiert,metabolisierte,metabolisiere,metabolisiert,hat
verstoffwechseln,verstoffwechsele,verstoffwechselst,verstoffwechselt,verstoffwechselte,verstoffwechselt,verstoffwechselte,verstoffwechsele,verstoffwechselt,hat
terminieren,terminiere,terminierst,terminiert,terminierte,terminiert,terminierte,terminiere,terminiert,hat
erlöschen,erlösche,erlischst,erlischt,erlosch,erloschen,erlösche,erlisch,erlöscht,ist
sedieren,sediere,sedierst,sediert,sedierte,sediert,sedierte,sedier,sediert,hat
instrumentalisieren,instrumentalisiere,instrumentalisierst,instrumentalisiert,instrumentalisierte,instrumentalisiert,instrumentalisierte,instrumentalisiere,instrumentalisiert,hat
flennen,flenne,flennst,flennt,flennte,geflennt,flennte,flenne,flennt,hat
zurückkehren,kehre zurück,kehrst zurück,kehrt zurück,kehrte zurück,zurückgekehrt,kehrte zurück,kehre zurück,kehrt zurück,ist
einkästen,käste ein,kästest ein,kästet ein,kästete ein,eingekästet,kästete ein,käste ein,kästet ein,hat
einkästeln,kästele ein,kästelst ein,kästelt ein,kästelte ein,eingekästelt,kästelte ein,kästele ein,kästelt ein,hat
firnen,firne,firnst,firnt,firnte,gefirnt,firnte,firne,firnet,hat
küren,küre,kürst,kürt,kürte,gekürt,kürte,küre,kürt,hat
campen,campe,campst,campt,campte,gecampt,campte,camp,campt,hat
bezahlen,bezahle,bezahlst,bezahlt,bezahlte,bezahlt,bezahlte,bezahle,bezahlt,hat
trischakeln,trischakele,trischakelst,trischakelt,trischakelte,getrischakelt,trischakelte,trischakele,trischakelt,hat
erstaunen,erstaune,erstaunst,erstaunt,erstaunte,erstaunt,erstaunte,erstaun,erstaunt,hat
wuseln,wusele,wuselst,wuselt,wuselte,gewuselt,wuselte,wusele,wuselt,hat
rammeln,rammele,rammelst,rammelt,rammelte,gerammelt,rammelte,rammle,rammelt,hat
erfassen,erfasse,erfasst,erfasst,erfasste,erfasst,erfasste,erfasse,erfasst,hat
inkubieren,inkubiere,inkubierst,inkubiert,inkubierte,inkubiert,inkubierte,inkubier,inkubiert,hat
propagieren,propagiere,propagierst,propagiert,propagierte,propagiert,propagierte,propagiere,propagiert,hat
joggen,jogge,joggst,joggt,joggte,gejoggt,joggte,jogge,joggt,hat
aufnehmen,nehme auf,nimmst auf,nimmt auf,nahm auf,aufgenommen,nähme auf,nimm auf,nehmt auf,hat
absenden,sende ab,sendest ab,sendet ab,sendete ab,abgesendet,sendete ab,send ab,sendet ab,hat
verstecken,verstecke,versteckst,versteckt,versteckte,versteckt,versteckte,verstecke,versteckt,hat
schmadern,schmadere,schmaderst,schmadert,schmaderte,geschmadert,schmaderte,schmadere,schmadert,hat
üben,übe,übst,übt,übte,geübt,übte,üb,übt,hat
triangulieren,trianguliere,triangulierst,trianguliert,triangulierte,trianguliert,triangulierte,triangulier,trianguliert,hat
zerstreuen,zerstreue,zerstreust,zerstreut,zerstreute,zerstreut,zerstreute,zerstreue,zerstreut,hat
schönreden,rede schön,redest schön,redet schön,redete schön,schöngeredet,redete schön,red schön,redet schön,hat
füllen,fülle,füllst,füllt,füllte,gefüllt,füllte,fülle,füllt,hat
fluoreszieren,fluoresziere,fluoreszierst,fluoresziert,fluoreszierte,fluoresziert,fluoreszierte,fluoreszier,fluoresziert,hat
leiten,leite,leitest,leitet,leitete,geleitet,leitete,leite,leitet,hat
schmähen,schmähe,schmähst,schmäht,schmähte,geschmäht,schmähte,schmähe,schmäht,hat
gießen,gieße,gießt,gießt,goss,gegossen,gösse,gieße,gießt,hat
erschweren,erschwere,erschwerst,erschwert,erschwerte,erschwert,erschwerte,erschwer,erschwert,hat
florieren,floriere,florierst,floriert,florierte,floriert,florierte,floriere,floriert,hat
fingieren,fingiere,fingierst,fingiert,fingierte,fingiert,fingierte,fingiere,fingiert,hat
flanieren,flaniere,flanierst,flaniert,flanierte,flaniert,flanierte,flaniere,flaniert,hat
flottieren,flottiere,flottierst,flottiert,flottierte,flottiert,flottierte,flottiere,flottiert,hat
beißen,beiße,beißt,beißt,biss,gebissen,bisse,beiße,beißt,hat
zerstören,zerstöre,zerstörst,zerstört,zerstörte,zerstört,zerstörte,zerstöre,zerstört,hat
umstellen,umstelle,umstellst,umstellt,umstellte,umstellt,umstellte,umstelle,umstellt,hat
husten,huste,hustest,hustet,hustete,gehustet,hustete,huste,hustet,hat
pellen,pelle,pellst,pellt,pellte,gepellt,pellte,pell,pellt,hat
austarieren,tariere aus,tarierst aus,tariert aus,tarierte aus,austariert,tarierte aus,tarier aus,tariert aus,hat
kitten,kitte,kittest,kittet,kittete,gekittet,kittete,kitte,kittet,hat
schimmern,schimmere,schimmerst,schimmert,schimmerte,geschimmert,schimmerte,schimmer,schimmert,hat
huldigen,huldige,huldigst,huldigt,huldigte,gehuldigt,huldigte,huldige,huldigt,hat
gestalten,gestalte,gestaltest,gestaltet,gestaltete,gestaltet,gestaltete,gestalt,gestaltet,hat
entwerfen,entwerfe,entwirfst,entwirft,entwarf,entworfen,entwürfe,entwirf,entwerft,hat
entfesseln,entfessele,entfesselst,entfesselt,entfesselte,entfesselt,entfesselte,entfessele,entfesselt,hat
befruchten,befruchte,befruchtest,befruchtet,befruchtete,befruchtet,befruchtete,befrucht,befruchtet,hat
klassieren,klassiere,klassierst,klassiert,klassierte,klassiert,klassierte,klassier,klassiert,hat
sautieren,sautiere,sautierst,sautiert,sautierte,sautiert,sautierte,sautier,sautiert,hat
herstellen,stelle her,stellst her,stellt her,stellte her,hergestellt,stellte her,stell her,stellt her,hat
klopfen,klopfe,klopfst,klopft,klopfte,geklopft,klopfte,klopf,klopft,hat
einsetzen,setze ein,setzt ein,setzt ein,setzte ein,eingesetzt,setzte ein,setze ein,setzt ein,hat
widerlegen,widerlege,widerlegst,widerlegt,widerlegte,widerlegt,widerlegte,widerlege,widerlegt,hat
mitzählen,zähle mit,zählst mit,zählt mit,zählte mit,mitgezählt,zählte mit,zähl mit,zählt mit,hat
platzieren,platziere,platzierst,platziert,platzierte,platziert,platzierte,platzier,platziert,hat
harren,harre,harrst,harrt,harrte,geharrt,harrte,harre,harrt,hat
erzürnen,erzürne,erzürnst,erzürnt,erzürnte,erzürnt,erzürnte,erzürn,erzürnt,hat
ondulieren,onduliere,ondulierst,onduliert,ondulierte,onduliert,ondulierte,onduliere,onduliert,hat
dopen,dope,dopst,dopt,dopte,gedopt,dopte,dope,dopt,hat
fläzen,fläze,fläzt,fläzt,fläzte,gefläzt,fläzte,fläze,fläzt,hat
benehmen,benehme,benimmst,benimmt,benahm,benommen,benähme,benimm,benehmt,hat
aufgehen,gehe auf,gehst auf,geht auf,ging auf,aufgegangen,ginge auf,geh auf,geht auf,ist
behalten,behalte,behältst,behält,behielt,behalten,behielte,behalte,behaltet,hat
ahnen,ahne,ahnst,ahnt,ahnte,geahnt,ahnte,ahne,ahnt,hat
dicht machen,mache dicht,machst dicht,macht dicht,machte dicht,dicht gemacht,machte dicht,mach dicht,macht dicht,hat
dichtmachen,mache dicht,machst dicht,macht dicht,machte dicht,dichtgemacht,machte dicht,mach dicht,macht dicht,hat
tasten,taste,tastest,tastet,tastete,getastet,tastete,tast,tastet,hat
schnarchen,schnarche,schnarchst,schnarcht,schnarchte,geschnarcht,schnarchte,schnarche,schnarcht,hat
tippen,tippe,tippst,tippt,tippte,getippt,tippte,tipp,tippt,hat
negoziieren,negoziiere,negoziierst,negoziiert,negoziierte,negoziiert,negoziierte,negoziier,negoziiert,hat
stieben,stiebe,stiebst,stiebt,stob,gestoben,stöbe,stiebe,stiebt,ist
malträtieren,malträtiere,malträtierst,malträtiert,malträtierte,malträtiert,malträtierte,malträtiere,malträtiert,hat
nottun,—,—,tut not,tat not,notgetan,täte not,—,—,hat
iterieren,iteriere,iterierst,iteriert,iterierte,iteriert,iterierte,iterier,iteriert,hat
verbrämen,verbräme,verbrämst,verbrämt,verbrämte,verbrämt,verbrämte,verbräme,verbrämt,hat
aufwachsen,wachse auf,wächst auf,wächst auf,wuchs auf,aufgewachsen,wüchse auf,wachse auf,wachst auf,ist
bestätigen,bestätige,bestätigst,bestätigt,bestätigte,bestätigt,bestätigte,bestätige,bestätigt,hat
äsen,äse,äst,äst,äste,geäst,äste,äse,äst,hat
verbinden,verbinde,verbindest,verbindet,verband,verbunden,verbände,verbinde,verbindet,hat
zustimmen,stimme zu,stimmst zu,stimmt zu,stimmte zu,zugestimmt,stimmte zu,stimme zu,stimmt zu,hat
domestizieren,domestiziere,domestizierst,domestiziert,domestizierte,domestiziert,domestizierte,domestiziere,domestiziert,hat
entnehmen,entnehme,entnimmst,entnimmt,entnahm,entnommen,entnähme,entnimm,entnehmt,hat
auslaufen,laufe aus,läufst aus,läuft aus,lief aus,ausgelaufen,liefe aus,lauf aus,lauft aus,ist
ballestern,ballester,ballesterst,ballestert,ballesterte,ballestert,ballesterte,ballester,ballestert,hat
kalfatern,kalfatere,kalfaterst,kalfatert,kalfaterte,kalfatert,kalfaterte,kalfatere,kalfatert,hat
ausziehen,ziehe aus,ziehst aus,zieht aus,zog aus,ausgezogen,zöge aus,zieh aus,zieht aus,ist
wählen,wähle,wählst,wählt,wählte,gewählt,wählte,wähle,wählt,hat
spenden,spende,spendest,spendet,spendete,gespendet,spendete,spende,spendet,hat
verjagen,verjage,verjagst,verjagt,verjagte,verjagt,verjagte,verjag,verjagt,hat
überraschen,überrasche,überraschst,überrascht,überraschte,überrascht,überraschte,überrasche,überrascht,hat
vergleichen,vergleiche,vergleichst,vergleicht,verglich,verglichen,vergliche,vergleich,vergleicht,hat
rinnen,rinne,rinnst,rinnt,rann,geronnen,ränne,rinn,rinnt,ist
verrecken,verrecke,verreckst,verreckt,verreckte,verreckt,verreckte,verrecke,verreckt,ist
kontrollieren,kontrolliere,kontrollierst,kontrolliert,kontrollierte,kontrolliert,kontrollierte,kontrolliere,kontrolliert,hat
traversieren,traversiere,traversierst,traversiert,traversierte,traversiert,traversierte,traversiere,traversiert,hat
abbremsen,bremse ab,bremst ab,bremst ab,bremste ab,abgebremst,bremste ab,brems ab,bremst ab,hat
abziehen,ziehe ab,ziehst ab,zieht ab,zog ab,abgezogen,zöge ab,ziehe ab,zieht ab,hat
abgeben,gebe ab,gibst ab,gibt ab,gab ab,abgegeben,gäbe ab,gib ab,gebt ab,hat
vereinfachen,vereinfache,vereinfachst,vereinfacht,vereinfachte,vereinfacht,vereinfachte,vereinfach,vereinfacht,hat
fangen,fange,fängst,fängt,fing,gefangen,finge,fang,fangt,hat
skypen,skype,skypst,skypt,skypte,geskypt,skypte,skyp,skypt,hat
verschmähen,verschmähe,verschmähst,verschmäht,verschmähte,verschmäht,verschmähte,verschmäh,verschmäht,hat
abdichten,dichte ab,dichtest ab,dichtet ab,dichtete ab,abgedichtet,dichtete ab,dichte ab,dichtet ab,hat
abdienen,diene ab,dienst ab,dient ab,diente ab,abgedient,diente ab,dien ab,dient ab,hat
systematisieren,systematisiere,systematisierst,systematisiert,systematisierte,systematisiert,systematisierte,systematisier,systematisiert,hat
veralten,veralte,veraltest,veraltet,veraltete,veraltet,veraltete,veralte,veraltet,ist
depravieren,depraviere,depravierst,depraviert,depravierte,depraviert,depravierte,depraviere,depraviert,hat
torkeln,torkle,torkelst,torkelt,torkelte,getorkelt,torkelte,torkle,torkelt,hat
blankziehen,ziehe blank,ziehst blank,zieht blank,zog blank,blankgezogen,zöge blank,zieh blank,zieht blank,hat
ablehnen,lehne ab,lehnst ab,lehnt ab,lehnte ab,abgelehnt,lehnte ab,lehne ab,lehnt ab,hat
erigieren,erigiere,erigierst,erigiert,erigierte,erigiert,erigierte,erigiere,erigiert,ist
oszillieren,oszilliere,oszillierst,oszilliert,oszillierte,oszilliert,oszillierte,oszilliere,oszilliert,hat
erlauben,erlaube,erlaubst,erlaubt,erlaubte,erlaubt,erlaubte,erlaube,erlaubt,hat
malmen,malme,malmst,malmt,malmte,gemalmt,malmte,malm,malmt,hat
stechen,steche,stichst,sticht,stach,gestochen,stäche,stich,stecht,hat
benützen,benütze,benützt,benützt,benützte,benützt,benützte,benütze,benützt,hat
einladen,lade ein,lädst ein,lädt ein,lud ein,eingeladen,lüde ein,lade ein,ladet ein,hat
entdecken,entdecke,entdeckst,entdeckt,entdeckte,entdeckt,entdeckte,entdecke,entdeckt,hat
befleißigen,befleißige,befleißigst,befleißigt,befleißigte,befleißigt,befleißigte,befleißig,befleißigt,hat
verlegen,verlege,verlegst,verlegt,verlegte,verlegt,verlegte,verlege,verlegt,hat
erwischen,erwische,erwischst,erwischt,erwischte,erwischt,erwischte,erwische,erwischt,hat
fortfahren,fahre fort,fährst fort,fährt fort,fuhr fort,fortgefahren,führe fort,fahr fort,fahrt fort,ist
schwänzen,schwänze,schwänzt,schwänzt,schwänzte,geschwänzt,schwänzte,schwänze,schwänzt,hat
spazieren gehen,gehe spazieren,gehst spazieren,geht spazieren,ging spazieren,spazieren gegangen,ginge spazieren,geh spazieren,geht spazieren,ist
verknallen,verknalle,verknallst,verknallt,verknallte,verknallt,verknallte,verknall,verknallt,hat
fesseln,fessele,fesselst,fesselt,fesselte,gefesselt,fesselte,fessle,fesselt,hat
ergreifen,ergreife,ergreifst,ergreift,ergriff,ergriffen,ergriffe,ergreife,ergreift,hat
wiederholen,wiederhole,wiederholst,wiederholt,wiederholte,wiederholt,wiederholte,wiederhol,wiederholt,hat
anlachen,lache an,lachst an,lacht an,lachte an,angelacht,lachte an,lach an,lacht an,hat
flirten,flirte,flirtest,flirtet,flirtete,geflirtet,flirtete,flirt,flirtet,hat
vernichten,vernichte,vernichtest,vernichtet,vernichtete,vernichtet,vernichtete,vernichte,vernichtet,hat
aussaugen,sauge aus,saugst aus,saugt aus,sog aus,ausgesogen,söge aus,sauge aus,saugt aus,hat
knallen,knalle,knallst,knallt,knallte,geknallt,knallte,knall,knallt,hat
zuhören,höre zu,hörst zu,hört zu,hörte zu,zugehört,hörte zu,höre zu,hört zu,hat
verpissen,verpisse,verpisst,verpisst,verpisste,verpisst,verpisste,verpiss,verpisst,hat
ankreiden,kreide an,kreidest an,kreidet an,kreidete an,angekreidet,kreidete an,kreide an,kreidet an,hat
spänen,späne,spänst,spänt,spänte,gespänt,spänte,spän,spänt,hat
säugen,säuge,säugst,säugt,säugte,gesäugt,säugte,säuge,säugt,hat
beckmessern,beckmessere,beckmesserst,beckmessert,beckmesserte,gebeckmessert,beckmesserte,beckmessere,beckmessert,hat
markieren,markiere,markierst,markiert,markierte,markiert,markierte,markiere,markiert,hat
behelligen,behellige,behelligst,behelligt,behelligte,behelligt,behelligte,behellige,behelligt,hat
verteilen,verteile,verteilst,verteilt,verteilte,verteilt,verteilte,verteile,verteilt,hat
stänkern,stänkere,stänkerst,stänkert,stänkerte,gestänkert,stänkerte,stänker,stänkert,hat
erzählen,erzähle,erzählst,erzählt,erzählte,erzählt,erzählte,erzähl,erzählt,hat
trennen,trenne,trennst,trennt,trennte,getrennt,trennte,trenne,trennt,hat
abschenken,schenke ab,schenkst ab,schenkt ab,schenkte ab,abgeschenkt,schenkte ab,schenk ab,schenkt ab,hat
schaben,schabe,schabst,schabt,schabte,geschabt,schabte,schabe,schabt,hat
vernaschen,vernasche,vernaschst,vernascht,vernaschte,vernascht,vernaschte,vernasche,vernascht,hat
befördern,befördere,beförderst,befördert,beförderte,befördert,beförderte,befördere,befördert,hat
vergehen,vergehe,vergehst,vergeht,verging,vergangen,verginge,vergehe,vergeht,hat
